name,Description
Peach Poly Crepe jumpsuit,"This stylish foil print kurta from janasya is made of poly crepe and comes in an attractive peach color. It features 3/4 sleeve,round neck,a-line and it is calf length kurta that is suitable for casual occasions. Team it with matching leggings for a chic look."
Light Brown Bias Yoke Checks Top,"This check pattern top by Work Label is crafted in cotton. Featuring a bias check at the yoke and straight check pattern in bottom half, a smart round Neckline, 3/4th sleeves, this mid hip length top offers a stylish & comfortable fit. Style this top with a trouser/skirt and medium high heels for chic look at work. This top can also be styled with a pair of stud earrings and a pair your regular sneakers to attain a casual look."
Off White Geometric Straight Cotton Dobby Top With Skirt (Set of 2),"Featuring elegant printed details, this off white top and skirt set from Jaipur Kurti makes a statement addition to your casual wardrobe. Style this set with a pair of high heels and statement accessories to complete the look."
Blue Me Away Cape Top,"Add an extra dose of style to your casual wardrobe with this elegant blue cape top from Twenty Dresses. Style With: A pair of black denims, colour block heels and statement earrings will complete this look!"
Yellow On A High Gown,Yellow polyester georgette maxi dress. Polyester knit lining inside for comfort. Overlapping v neckline with gathers at bust. Flared sleeves with attached belt at the waist. Concealed zipper on the left.
White Logo Round Neck T-Shirt,No well-edited closet is complete without a printed T-shirt like this one from GAP. It's cut for a close fit from soft jersey with touches of cotton-blend. Style yours with washed denim or layered under a chunky knit.
Yellow Sandy Maxi Dress,"We are excited to announce our long awaited launch of contemporary clothing in Indian hand block & hand painted textiles, and we are thrilled to have a fresh new look. Please note: This piece is handmade with love and care by various artisans and therefore slight differences of design and colour may occur from piece-to-piece which allows for a signature one-of-a-kind aesthetic."
Indigo Prairie Denim Midi Dress,Pleated jacket fastened with cotton pleated drawstring and coconut wood buttons made in natural indigo dyed Handloom khadi denim fabric
Off White Gilet Top,Off-white gilet front open top featuring circular mirrors on yoke.
Black Stripe All The Way Jumpsuit,Black stripe printed polyester twill crepe jumpsuit.. Overlapping wrap style neckline and sleeveless style.. Back zipper for closure and a separate belt for style.. Straight legged bottoms with pockets on both sides for style and comfort..
Grey Floral Print Lace Insert T-Shirt,"Aeropostale's tee is made from blended cotton fabric and has a comfortable fit. It features a round neck, long sleeves and an all-over floral print for a classy look and feel. Wear yours with everything from distressed jeans to equally bold mini skirts."
White Patterned Lana Shirt,Twisted overlapping panel shirt
Black Stripes Got Me Wrapped Dress,Black Stripes Polyester Twill Crepe wrap dress. Sleeveless with v-neckline sheath dress. A functional button on the inside and a button on the front for closure.
Multi-Color Turn Over A New Leaf Top,Multicolor leaf printed polyester crepe top. High collar neckline with tie-up. Regular full length sleeves with cuff attachment at sleeve hemline.
Purple Lace Panel Woven Top,"When it comes to tops, their build and details strike a perfect cord of balance. This piece from Aeropostale is made from a fabric that feels soft against the skin. Wear yours over the weekend with everything from jeans to culottes."
Pink The Classic Ruffled Top,A pink full sleeves ruffled top with with bow tie detailing around neckline.
Blue The Peplum Plush Top,Blue multicolor floral printed georgette peplum top. Wrap style overlapping v-neckline. Full length sheer balloon sleeves with smocked cuff. Smocked waist band. Polyester knit lining inside for comfort.
White Long Flared Dress,"This off white long dress by Baise Gaba is crafted in georgette and cotton, flared and features single straps, lace details in the front, regular fit and tie up knot at the back. Team this dress with danglers and a charm bracelet to create a trendy look."
Purple Draped Jumpsuit,"Accentuate your wardrobe with this lilac draped jumpsuit by Tarun Tahiliani. Crafted in foil crinkle tulle, pick this jumpsuit for your next festivity. Style it with statement jewellery and high heels to complete the look."
Teal Accomplish Ajrakh Shirt,"A smart navy blue collared shirt by Okhai features wooden buttons, crafted from airy cotton fabric and hand block printed with ajrakh motifs. The jigsaw panelling makes it a unique design that can be styled as both formal or casual. Wear it with high waisted skirts or pants, over palazzos, jeans or shorts, or even with dungarees."
Olive Casual Regular Sleeve Printed Top,Add a fresh and vibrant touch to your casual wardrobe with this Top from Campus Sutra. Team it with a pair of jeans and flip-flops or shoe for a cool look.
Yellow Drawstring Waist Flared Floral Dress,Peplum Yellow Drawstring Waist Flared Floral Dress
Multicolor Geometric Print Dress,"This multicolor geometric print dress by Bunaai is crafted in cotton and features a high neck, balloon sleeves, maxi length and a comfortable fit. Style this dress with a pair of sneakers to complete the look. Buy this dress online. Please note: This piece is handmade with love and care by various artisans and therefore slight differences of design and colour may occur from piece-to-piece which allows for a signature one-of-a-kind aesthetic."
Navy Blue The Polka Playful Midi Dress,Navy blue polka rayon midi dress. Fit and flare silhouette. V neck with front ruching. Adjustable shoulder strap with ruffle detailing. Smocking at the back for fit and ease.
Pink Crew Neck Graphic T-Shirt,"Crew neck , Short sleeves , Logo graphic at front ,,,,,"
Black Slipping Into Polka Midi Dress,Black polka printed polyester georgette midi dress. Fit and flare silhouette. Smocked yoke with wide square neckline for style and comfort. Smocking at sleeves and ruffle at sleeve hem. Slit at front for style.
Mustard Halter Neck Top,"An all purpose piece. Can be teamed up with any jeans, skirt or pants. Definitely makes you stand apart. Accessories will add to the compliments"
Grey Glitter Logo Pullover Sweatshirt,"Made from a soft cotton-blend jersey, this sweatshirt by GAP will be your go-to number when the temperature drops. The glitter logo at front adds a signature appeal, while a crew neck, long sleeves and ribbed trims complete its design. Throw yours with a tee and jeans on off-duty days."
Pink You Smock Me Up Crop Top,Pink polyester georgette crop top. V neckline with fabric buttons on the center front. Smocked waist band with frill detailing at hemline. Full length bishop sleeves with elastic at sleeve hem.
Rust Sweetheart In Polka Dress,Rust polka printed polyester moss crepe dress. Sweetheart neckline with puff sleeves. Fit and flare silhouette. Ruffled bottom. Centre back zipper for closure.
Yellow Meet The Blooms Gown,Yellow Polyester Georgette Floral Printed Gown. Polyester Knit Lining Inside for comfort. Halter neck & deep incut Sleeveless dress. Elasticated Waistline blouson style with a tie up for style. Keyhole button on the back for fastening.
Blaze In Red Playsuit,Red polyester knit wrap style playsuit. Sleeveless with a lapel collar neckline. Blazer inspired wrap silhouette. Mock button pockets for style. Center back zipper for fastening and ease.
Black Sequin Logo Round Neck T-Shirt,"GAP is known for producing good quality casuals, and this sequin-embellished tee hits the cord. It's cut from breathable cotton jersey and has a round neck and short sleeves. Wear yours with linen shorts for an effortless feel."
Yellow Optimist Hand Embroidered Midi Dress,"A vibrant yellow dress  by Okhai to light up your wardrobe and lift your mood. With a fabric belt to cinch the waist, hand embroidered real mirrors for sparkle and subtle blanket stitch, this cheerful design is for the optimist in you. Wear it for destination day weddings, brunch meetups or quality solo time at your favourite cafe."
Maroon Slit On My Mind Co-ordinates,Maroon polka printed polyester moss crepe skirt co-ord set. Crop top with adjustable straps and smocking detailing at the back. A line midi skirt with thigh high slit. Fabric buttons above the slit for style. Side zip closure on the skirt.
Maroon Ready For The Royal Ball Gown,Maroon polyester georgette with polyester crepe lining maxi dress. Gathers around the waist and shoulders with tie up detailing at the shoulder for style. Fit and flare silhouette. Sleeveless with overlapping v-neckline. Concealed side zipper for fastening and ease.
Pink Ready For The Royals Maxi Dress,"Steal the show wearing this pink maxi dress from Twenty Dresses. Style With: A pair of high heels, a statement clutch with subtle accessories will complete this stunning evening look!"
White Buti Printed Top,A white buti printed top make it an extra-special summer essential. This top can be paired with uneven hem pant.
Maroon Show Me Off Dress,A maroon kniited dress having a fit and flare silhouette along with net detailing at the neck yoke and waist for style. It is short sleeved with back button for fastening and ease.
Black V-Neck Top,"This black top from Vero Moda is crafted from viscose and rayon and features a V-neck with button placket,3/4th sleeves and curved hemline. Buy this top online and style it with trousers and heels for a formal look."
Olive Wrapped In Style Floral Top,Olive floral printed rayon wrap top. Wrap style overlapping v-neckline. Frill detailing at neckline. Peplum waist cut. Three fourth balloon sleeves with elastic at the sleeve hem. Attached belt tie up for closure and ease.
Pink All About That Lace Gown,Pink polyester georgette and lace maxi dress with polyester knit lining. Lace detailing on the front and back yoke. Sleeveless with v neckline. Fit & flare silhouette. Side zipper for fastening & ease
Blue Take Me Up A Notch Gown,Blue polyester georgette maxi dress. Polyester knit lining inside for comfort. Adjustable shoulder straps with a v neckline. Buttons at centre back for style. Concealed zipper on the left.
Blue Short Sleeves Printed Top,"Make a stunning style statement with this elegant blue top from GAP. Crafted in rayon, style this top with a pair of girlfriend denims and high heels to complete the ensemble."
Sea Green Solid Straight Cotton Slub Shirt,"This green shirt is meant for the fashion-forward women. Pair it with straight pants, heels and fine accessories to complete the look."
Olive Hung Up On You Floral Dress,Green floral printed rayon dress. Overlapping v-neckline. Smocked band at the waist for style and comfort. Full sleeves with gathers at the top and elasticated at the wrist. Floral dresses create an effortless all in one outfit and can easily transition from day to night!. Accessorize with: tie up flats and a cute crossbody bag will complete this casual chic look!
Off White Groovy Art Dress,A lovely off white hued printed dress that is perfect for a summer brunch look. The options are many you can wear it as a one piece or go for leggings if you want to give it a traditional touch.
